year,month,district,pcode,rfe,ndvi,temp,pdi,tdi,vdi,cdi
2001,1,Adan Yabaal,2102,0.000,0.287,36.775,0.030,0.880,1.140,0.240
2001,2,Adan Yabaal,2102,0.000,0.235,38.471,0.030,0.550,1.120,0.160
2001,3,Adan Yabaal,2102,0.000,0.222,41.040,0.030,0.590,0.940,0.170
2001,4,Adan Yabaal,2102,108.253,0.294,38.437,1.050,1.160,1.120,1.080
2001,5,Adan Yabaal,2102,17.412,0.404,34.153,0.980,1.230,1.200,1.040
2001,6,Adan Yabaal,2102,0.000,0.288,33.700,0.630,0.640,1.130,0.630
2001,7,Adan Yabaal,2102,0.127,0.228,33.069,0.610,0.610,1.260,0.610
2001,8,Adan Yabaal,2102,0.982,0.221,36.892,0.550,0.620,1.200,0.570
2001,9,Adan Yabaal,2102,1.367,0.205,38.411,0.500,0.640,1.250,0.530
2001,10,Adan Yabaal,2102,54.534,0.261,40.376,0.300,0.570,0.870,0.370
2001,11,Adan Yabaal,2102,1.471,0.388,34.458,0.230,0.560,0.640,0.320
2001,12,Adan Yabaal,2102,33.249,0.425,32.125,0.630,1.160,0.970,0.760
2002,1,Adan Yabaal,2102,0.000,0.337,35.450,0.440,1.280,1.400,0.650
2002,2,Adan Yabaal,2102,0.000,0.251,37.811,0.500,1.210,1.330,0.680
2002,3,Adan Yabaal,2102,0.416,0.229,39.583,0.480,0.980,0.970,0.600
2002,4,Adan Yabaal,2102,123.846,0.295,38.478,1.260,1.190,0.970,1.240
2002,5,Adan Yabaal,2102,2.335,0.414,34.937,1.040,0.680,1.350,0.950
2002,6,Adan Yabaal,2102,13.086,0.326,33.897,1.200,0.660,1.390,1.070
2002,7,Adan Yabaal,2102,0.000,0.243,33.058,0.950,0.620,1.320,0.870
2002,8,Adan Yabaal,2102,7.674,0.213,35.989,0.640,0.630,1.240,0.640
2002,9,Adan Yabaal,2102,6.769,0.220,37.286,0.590,1.290,1.300,0.770
2002,10,Adan Yabaal,2102,112.719,0.339,36.122,0.950,1.220,1.340,1.020
2002,11,Adan Yabaal,2102,31.765,0.466,32.172,1.110,1.230,1.450,1.140
2002,12,Adan Yabaal,2102,42.263,0.470,32.279,1.080,1.260,1.540,1.130
2003,1,Adan Yabaal,2102,0.000,0.375,35.277,1.330,1.410,1.580,1.350
2003,2,Adan Yabaal,2102,0.000,0.289,37.657,1.030,1.310,1.530,1.100
2003,3,Adan Yabaal,2102,2.321,0.262,38.755,0.970,1.510,1.580,1.110
2003,4,Adan Yabaal,2102,144.181,0.327,38.444,2.000,1.430,1.560,1.850
2003,5,Adan Yabaal,2102,7.810,0.427,33.706,1.270,1.390,1.480,1.300
2003,6,Adan Yabaal,2102,22.588,0.326,30.712,1.510,1.410,1.500,1.480
